,Name,Role,Country,Status,Base_Price(Lakh),Final_Price(Lakh),Team,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St,Balls,Wkts,BBI,BBM,Econ,4w,5w
37,Harishankar Reddy,Bowler , India,SOLD,20,20,CSK,13,6,4,6,16*,9.50,14,135.71,0,0,2,1,2,0,13,4,19,16*,14,0,0
38,Josh Inglis,WK-Batsman , Australia,UNSOLD,20,-,-,41,37,5,37,73,29.40,656,143.44,0,8,94,28,26,7,41,5,941,73,656,0,8
39,Srikar Bharat,WK-Batsman , India,SOLD,20,20,RCB,48,44,3,44,76,17.80,688,106.10,0,3,63,29,36,10,48,3,730,76,688,0,3
40,Suyash Prabhudessai,Batsman , India,SOLD,20,20,RCB,17,16,5,16,60*,32.45,241,148.13,0,1,32,16,11,0,17,5,357,60*,241,0,1
41,Prerak Mankad,Batsman , India,UNSOLD,20,-,-,28,24,6,24,72,32.16,408,141.91,0,5,53,23,15,0,28,6,579,72,408,0,5
42,Tajinder Singh,Batting Allrounder , India,UNSOLD,20,-,-,21,20,5,20,51,23.06,240,144.16,0,1,30,13,10,0,21,5,346,51,240,0,1
43,Siddhesh Lad,Batsman , India,UNSOLD,20,-,-,48,39,8,39,82,23.54,603,121.06,0,3,62,28,19,0,48,8,730,82,603,0,3
44,Sean Abbott,Bowler , Australia,UNSOLD,50,-,-,94,55,12,55,39,10.39,411,108.75,0,0,26,17,54,0,94,12,447,39,411,0,0
45,Matthew Wade,WK-Batsman , Australia,UNSOLD,100,-,-,139,121,19,121,130*,27.58,2054,137.00,1,19,225,98,69,8,139,19,2814,130*,2054,1,19
46,Ben McDermott,WK-Batsman , Australia,UNSOLD,50,-,-,73,68,15,68,114,31.32,1270,130.70,1,7,99,75,35,2,73,15,1660,114,1270,1,7
47,Thisara Perera,Bowling Allrounder , Sri Lanka,UNSOLD,50,-,-,290,244,68,244,97*,21.01,2466,150.00,0,9,260,209,119,0,290,68,3699,97*,2466,0,9
48,Liam Livingstone,Batsman , England,SOLD,75,75,RR,128,123,9,123,100,27.48,2232,140.36,1,18,221,180,53,0,128,9,3133,100,2232,1,18
49,Daniel Christian,Bowling Allrounder , Australia,SOLD,75,400,RCB,347,298,82,298,129,23.93,3692,140.05,2,15,336,260,150,0,347,82,5171,129,3692,2,15
50,Fabian Allen,Batting Allrounder , West Indies,SOLD,75,75,PBKS,35,29,9,29,64*,24.10,306,157.51,0,2,36,32,11,0,35,9,482,64*,306,0,2
51,G Periyaswamy,Bowler , India,UNSOLD,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
52,Ben Dwarshuis,Bowler , Australia,UNSOLD,30,-,-,69,33,17,33,42*,17.00,218,124.77,0,0,16,11,16,0,69,17,272,42*,218,0,0
53,Vaibhav Arora,Bowler , India,SOLD,20,20,KKR,6,2,2,2,0*,-,0,-,0,0,0,0,1,0,6,2,0,0*,0,0,0
54,KL Shrijith,WK-Batsman , India,UNSOLD,20,-,-,5,5,1,5,48*,14.75,46,128.26,0,0,2,3,1,3,5,1,59,48*,46,0,0
55,Utkarsh Singh,Bowler , India,SOLD,20,20,PBKS,21,13,3,13,49*,23.80,187,127.27,0,0,27,5,8,0,21,3,238,49*,187,0,0
56,Karan Sharma,Batting Allrounder , India,UNSOLD,20,-,-,3,3,0,3,35,23.00,53,130.18,0,0,9,1,1,0,3,0,69,35,53,0,0
57,Jalaj Saxena,Batting Allrounder , India,SOLD,30,30,PBKS,59,50,11,50,55*,16.94,756,87.43,0,1,64,5,13,0,59,11,661,55*,756,0,1
58,Naveen-ul-Haq,Bowler , Afghanistan,UNSOLD,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
59,Mitchell McClenaghan,Bowler , New Zealand,UNSOLD,50,-,-,203,77,34,77,20,6.30,235,115.31,0,0,17,15,34,0,203,34,271,20,235,0,0
60,Billy Stanlake,Bowler , Australia,UNSOLD,100,-,-,76,15,12,15,7,10.00,46,65.21,0,0,1,1,8,0,76,12,30,7,46,0,0
61,Mohit Sharma,Bowler , India,UNSOLD,50,-,-,7,7,0,7,45,16.71,103,113.59,0,0,13,1,4,0,7,0,117,45,103,0,0
62,Oshane Thomas,Bowler , West Indies,UNSOLD,50,-,-,42,8,6,8,8*,7.00,26,53.84,0,0,2,0,6,0,42,6,14,8*,26,0,0
63,Varun Aaron,Bowler , India,UNSOLD,50,-,-,87,31,17,31,17*,8.85,177,70.05,0,0,11,3,13,0,87,17,124,17*,177,0,0
64,Moises Henriques,Batting Allrounder , Australia,SOLD,100,400,PBKS,213,191,43,191,77,26.96,3102,128.65,0,19,307,120,98,0,213,43,3991,77,3102,0,19
65,Marnus Labuschagne,Batting Allrounder , Australia,UNSOLD,100,-,-,16,15,1,15,49,19.50,240,113.75,0,0,17,5,7,0,16,1,273,49,240,0,0
66,Tom Curran,Bowling Allrounder , England,SOLD,100,500,DC,134,76,27,76,62,19.83,734,132.42,0,3,85,28,41,0,134,27,972,62,734,0,3
67,Kyle Jamieson,Bowler , New Zealand,SOLD,75,1500,RCB,42,19,10,19,33*,25.66,164,140.85,0,0,18,5,9,0,42,10,231,33*,164,0,0
68,Martin Guptill,Batsman , New Zealand,UNSOLD,50,-,-,268,259,23,259,120*,32.44,5838,131.15,4,48,661,352,160,0,268,23,7657,120*,5838,4,48
69,Cheteshwar Pujara,Batsman , India,SOLD,50,50,CSK,64,56,10,56,100*,29.47,1240,109.35,1,7,158,20,32,0,64,10,1356,100*,1240,1,7
70,Darren Bravo,Batsman , West Indies,UNSOLD,75,-,-,151,134,35,134,94*,32.45,2725,117.90,0,19,194,178,44,0,151,35,3213,94*,2725,0,19
71,Devon Conway,Batsman , New Zealand,UNSOLD,50,-,-,91,87,17,87,105*,43.45,2366,128.57,2,22,325,72,35,1,91,17,3042,105*,2366,2,22
72,Shaun Marsh,Batsman , Australia,UNSOLD,100,-,-,197,194,24,194,115,37.85,5023,128.13,2,50,613,205,63,0,197,24,6436,115,5023,2,50
73,Rovman Powell,Batsman , West Indies,UNSOLD,50,-,-,80,69,13,69,84,22.00,967,127.40,0,5,80,70,45,0,80,13,1232,84,967,0,5
74,Tejas Baroka,Bowler , India,UNSOLD,20,-,-,3,-,-,-,-,-,-,-,-,-,-,-,0,0,3,-,-,-,-,-,-
75,Sudhesan Midhun,Bowler , India,UNSOLD,20,-,-,17,7,3,7,17,5.75,22,104.54,0,0,0,2,3,0,17,3,23,17,22,0,0
76,Sandeep Lamichhane,Bowler , Nepal,UNSOLD,40,-,-,96,29,16,29,10*,4.92,91,70.32,0,0,3,0,14,0,96,16,64,10*,91,0,0
77,KC Cariappa,Bowler , India,SOLD,20,20,RR,29,8,4,8,12*,7.50,29,103.44,0,0,0,2,4,0,29,4,30,12*,29,0,0
78,Lukman Meriwala,Bowler , India,SOLD,20,20,DC,44,5,3,5,6*,5.00,6,166.66,0,0,1,0,13,0,44,3,10,6*,6,0,0
79,Jagadeesha Suchith,Bowler , India,SOLD,20,30,SRH,58,28,14,28,34*,17.57,206,119.41,0,0,19,8,25,0,58,14,246,34*,206,0,0
80,Karanveer Singh,Bowler , India,UNSOLD,20,-,-,16,6,4,6,17*,18.00,54,66.66,0,0,3,0,7,0,16,4,36,17*,54,0,0
81,Manimaran Siddharth,Bowler , India,SOLD,20,20,DC,6,1,1,1,1*,-,2,50.00,0,0,0,0,4,0,6,1,1,1*,2,0,0
82,Tushar Deshpande,Bowler , India,UNSOLD,20,-,-,27,9,4,9,20*,6.20,25,124.00,0,0,3,1,4,0,27,4,31,20*,25,0,0
83,Riley Meredith,Bowler , Australia,SOLD,40,800,PBKS,37,6,1,6,4,1.80,13,69.23,0,0,1,0,7,0,37,1,9,4,13,0,0
84,Kuldeep Sen,Bowler , India,UNSOLD,20,-,-,13,3,2,3,1*,1.00,7,14.28,0,0,0,0,1,0,13,2,1,1*,7,0,0
85,Chetan Sakariya,Bowler , India,SOLD,20,100,RR,16,1,0,1,0,0.00,2,0.00,0,0,0,0,6,0,16,0,0,0,2,0,0
86,Ankit Rajpoot,Bowler , India,UNSOLD,30,-,-,82,18,10,18,8,7.25,79,73.41,0,0,4,2,12,0,82,10,58,8,79,0,0
87,Avi Barot,Batsman , India,UNSOLD,20,-,-,20,20,1,20,122,37.73,489,146.62,1,5,85,21,6,0,20,1,717,122,489,1,5
88,Mohammed Azharuddeen,WK-Batsman , India,SOLD,20,20,RCB,24,22,2,22,137*,22.55,317,142.27,1,0,30,27,19,0,24,2,451,137*,317,1,0
89,Kedar Devdhar,WK-Batsman , India,UNSOLD,20,-,-,76,75,6,75,100,32.10,1826,121.30,1,13,247,51,34,3,76,6,2215,100,1826,1,13
90,Sheldon Jackson,WK-Batsman , India,SOLD,20,20,KKR,59,56,8,56,106*,25.83,1059,117.09,1,6,123,42,35,4,59,8,1240,106*,1059,1,6
91,Vishnu Vinod,WK-Batsman , India,SOLD,20,20,DC,35,34,4,34,71*,30.20,666,136.03,0,5,77,48,10,5,35,4,906,71*,666,0,5
92,Vivek Singh,Batsman , India,UNSOLD,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
93,Krishnappa Gowtham,Bowling Allrounder , India,SOLD,20,900,CSK,62,49,11,49,60,15.63,373,159.24,0,2,53,31,19,0,62,11,594,60,373,0,2
94,Ayush Badoni,Bowling Allrounder , India,UNSOLD,20,-,-,5,1,0,1,8,8.00,11,72.72,0,0,1,0,3,0,5,0,8,8,11,0,0
95,Shahrukh Khan,Bowling Allrounder , India,SOLD,20,500,PBKS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
96,Ripal Patel,Bowler , India,SOLD,20,20,DC,11,9,3,9,41*,31.83,101,189.10,0,0,15,14,4,0,11,3,191,41*,101,0,0
97,Atit Sheth,Bowler , India,UNSOLD,20,-,-,34,18,16,18,29,71.50,110,130.00,0,0,10,6,10,0,34,16,143,29,110,0,0
98,Himmat Singh,Batsman , India,UNSOLD,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99,Rajat Patidar,Batsman , India,SOLD,20,20,RCB,22,22,2,22,96,34.95,487,143.53,0,6,62,28,15,0,22,2,699,96,487,0,6
100,Gahlaut Rahul Singh,Batsman , India,UNSOLD,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101,Sachin Baby,Batsman , India,SOLD,20,20,RCB,80,64,8,64,79,26.76,1113,134.68,0,7,128,46,33,0,80,8,1499,79,1113,0,7
102,Himanshu Rana,Batsman , India,UNSOLD,20,-,-,32,31,2,31,75*,24.37,576,122.74,0,6,79,17,8,0,32,2,707,75*,576,0,6
103,Mustafizur Rahman,Bowler , Bangladesh,SOLD,100,100,RR,121,40,22,40,21*,6.44,144,80.55,0,0,7,8,26,0,121,22,116,21*,144,0,0
104,Qais Ahmad,Bowler , Afghanistan,UNSOLD,50,-,-,67,32,8,32,50*,15.33,291,126.46,0,1,24,23,23,0,67,8,368,50*,291,0,1
105,Piyush Chawla,Bowling Allrounder , India,SOLD,50,200,MI,249,140,45,140,45*,14.87,1123,125.82,0,0,123,54,66,0,249,45,1413,45*,1123,0,0
106,Ish Sodhi,Bowler , New Zealand,UNSOLD,50,-,-,169,50,24,50,51,10.34,252,106.74,0,1,18,12,29,0,169,24,269,51,252,0,1
107,Rahul Sharma,Bowler , India,UNSOLD,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
108,Adil Rashid,Bowler , England,UNSOLD,100,-,-,180,89,34,89,36*,12.56,662,104.38,0,0,49,11,49,0,180,34,691,36*,662,0,0
109,Sheldon Cottrell,Bowler , West Indies,UNSOLD,100,-,-,104,34,12,34,26*,7.27,144,111.11,0,0,11,10,47,0,104,12,160,26*,144,0,0
110,Jhye Richardson,Bowling Allrounder , Australia,SOLD,100,1400,PBKS,67,34,20,34,33*,18.85,200,132.00,0,0,18,12,23,0,67,20,264,33*,200,0,0
111,Umesh Yadav,Bowler , India,SOLD,100,100,DC,148,49,27,49,26,8.81,167,116.16,0,0,16,11,38,0,148,27,194,26,167,0,0
112,Nathan Coulter-Nile,Bowler , Australia,SOLD,100,500,MI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
113,Adam Milne,Bowler , New Zealand,SOLD,50,300,MI,108,45,28,45,18*,14.70,203,123.15,0,0,20,5,27,0,108,28,250,18*,203,0,0
114,Kusal Perera,WK-Batsman , Sri Lanka,UNSOLD,50,-,-,109,105,4,105,87,24.33,1859,132.22,0,20,230,96,38,19,109,4,2458,87,1859,0,20
115,Alex Carey,WK-Batsman , Australia,UNSOLD,100,-,-,92,78,9,78,101,30.15,1624,128.14,2,10,195,60,68,13,92,9,2081,101,1624,2,10
116,Glenn Phillips,WK-Batsman , New Zealand,UNSOLD,50,-,-,111,105,8,105,116*,30.24,2114,138.78,4,17,250,149,62,8,111,8,2934,116*,2114,4,17
117,Dawid Malan,Batsman , England,SOLD,100,100,PBKS,224,219,35,219,117,33.37,4776,128.58,5,35,614,183,79,0,224,35,6141,117,4776,5,35
118,Chris Morris,Bowling Allrounder , South Africa,SOLD,75,1600,RR,223,146,58,146,82*,20.46,1196,150.58,0,3,126,90,100,0,223,58,1801,82*,1196,0,3
119,Shivam Dube,Bowling Allrounder , India,SOLD,50,400,RR,55,48,13,48,63,19.68,507,135.89,0,2,38,44,18,0,55,13,689,63,507,0,2
120,Moeen Ali,Batting Allrounder , England,SOLD,200,700,CSK,167,158,16,158,121*,24.73,2506,140.18,2,19,346,154,54,0,167,16,3513,121*,2506,2,19
121,Shakib Al Hasan,Batting Allrounder , Bangladesh,SOLD,200,300,KKR,317,290,45,290,86*,20.73,4161,122.08,0,19,474,126,80,0,317,45,5080,86*,4161,0,19
122,Glenn Maxwell,Batting Allrounder , Australia,SOLD,200,1400,RCB,306,286,39,286,145*,27.02,4380,152.37,3,38,539,337,157,0,306,39,6674,145*,4380,3,38
123,Aaron Finch,Batsman , Australia,UNSOLD,100,-,-,319,314,33,314,172,34.58,6866,141.53,8,63,943,396,140,0,319,33,9718,172,6866,8,63
124,Evin Lewis,Batsman , West Indies,UNSOLD,100,-,-,161,157,9,157,125*,30.45,3163,142.49,4,30,366,304,46,0,161,9,4507,125*,3163,4,30
125,Steven Smith,Batsman , Australia,SOLD,200,200,DC,209,185,40,185,101,30.60,3511,126.40,1,21,393,103,111,0,209,40,4438,101,3511,1,21
126,Jason Roy,Batsman , England,UNSOLD,200,-,-,231,226,11,226,122*,27.86,4194,142.82,4,40,657,222,104,0,231,11,5990,122*,4194,4,40
127,Alex Hales,Batsman , England,UNSOLD,100,-,-,290,287,20,287,116*,30.20,5574,144.70,4,51,886,310,144,0,290,20,8066,116*,5574,4,51
